d [mm],f [GHz],pPDn [W/m2],pPDtot [W/m2],psPDn_1 [W/m2],psPDtot_1 [W/m2],psPDn_4 [W/m2],psPDtot_4 [W/m2],pDeltaT * 100 [°C]
25,44,193.0,192.0,40.0,65.83093459180935,13.0,28.163721361108337,110.08402497190038
48,52,20.0,21.0,17.0,23.749554456950186,8.0,13.30997267608715,28.630971009226307
115,66,230.0,222.0,29.0,30.81613433824704,8.0,9.096402704896079,6.121211231721528
60,17,0.0,0.0,6.0,8.628176904107757,6.0,8.490476755042897,9.974861172425662
14,21,190.0,191.0,37.0,49.864987915871374,12.0,19.39493814430991,28.193195101736364
64,82,8.0,6.0,4.0,4.774575126209674,1.0,1.6771197450585011,5.756961262950896
75,38,22.0,22.0,12.0,14.504074373842084,7.0,8.97921146597831,4.635022514907528
133,38,0.0,0.0,0.0,0.05435277977218855,0.0,0.04309118869815687,0.31075179582589957
15,83,195.0,191.0,34.0,43.5833645045527,11.0,17.186920301062308,47.99542529696543
88,30,234.0,240.0,34.0,41.41164767039395,11.0,15.714678660535554,34.17266658512053
107,19,0.0,0.0,6.0,7.911487839907545,5.0,6.561900399336159,3.338588957652394
48,11,85.0,80.0,25.0,27.68724186166288,8.0,9.89167560536184,10.611340934722193
4,22,125.0,157.0,40.0,71.06100907057689,13.0,30.24397035784477,97.28060106302082
68,36,1.0,1.0,8.0,10.831248385389857,5.0,7.585131711075654,4.195984120164087
82,13,0.0,0.0,4.0,6.0683283828005745,5.0,6.894674225921099,2.1089477105276693
40,35,67.0,66.0,31.0,37.684123621886826,10.0,14.529811304967764,11.921415529517517
7,27,315.0,315.0,40.0,70.95102817998028,13.0,29.367659630012106,79.99127012996684
131,52,0.0,0.0,4.0,4.6409124183215,2.0,2.498633762063905,0.578403104806561
50,47,214.0,211.0,38.0,46.044763347784865,11.0,15.755514544569845,13.10155883477366
50,23,62.0,62.0,19.0,21.569817087862646,8.0,9.858806187381726,12.725559835394447
75,80,42.0,39.0,7.0,7.475167499811747,2.0,2.3196985677118516,5.515407025671116
12,84,270.0,273.0,39.0,56.56272933057474,12.0,22.265315271744072,63.98142591566066
6,18,315.0,315.0,40.0,66.85411780361409,13.0,28.226372386431695,106.09627403512597
126,40,0.0,0.0,2.0,2.8535814485538316,2.0,2.7587310773906024,1.7249773572413152
38,49,0.0,0.0,7.0,10.955353425880226,6.0,9.691931434823644,12.408039269933216
