tissue,frequency,conductivity,permittivity,loss-tangent,penetration-depth
SkinDry,1.0000e+10, 8.0138e+0, 3.1290e+1, 4.6038e-1, 3.7979e-3
SkinDry,1.0100e+10, 8.1278e+0, 3.1193e+1, 4.6374e-1, 3.7401e-3
SkinDry,1.0200e+10, 8.2420e+0, 3.1096e+1, 4.6710e-1, 3.6837e-3
SkinDry,1.0300e+10, 8.3566e+0, 3.0998e+1, 4.7047e-1, 3.6287e-3
SkinDry,1.0400e+10, 8.4714e+0, 3.0901e+1, 4.7384e-1, 3.5751e-3
SkinDry,1.0500e+10, 8.5866e+0, 3.0803e+1, 4.7722e-1, 3.5228e-3
SkinDry,1.0600e+10, 8.7019e+0, 3.0705e+1, 4.8059e-1, 3.4718e-3
SkinDry,1.0700e+10, 8.8176e+0, 3.0607e+1, 4.8397e-1, 3.4220e-3
SkinDry,1.0800e+10, 8.9334e+0, 3.0509e+1, 4.8735e-1, 3.3734e-3
SkinDry,1.0900e+10, 9.0495e+0, 3.0411e+1, 4.9073e-1, 3.3259e-3
SkinDry,1.1000e+10, 9.1658e+0, 3.0313e+1, 4.9412e-1, 3.2796e-3
SkinDry,1.1100e+10, 9.2822e+0, 3.0215e+1, 4.9750e-1, 3.2343e-3
SkinDry,1.1200e+10, 9.3989e+0, 3.0116e+1, 5.0088e-1, 3.1901e-3
SkinDry,1.1300e+10, 9.5157e+0, 3.0018e+1, 5.0427e-1, 3.1469e-3
SkinDry,1.1400e+10, 9.6326e+0, 2.9919e+1, 5.0766e-1, 3.1047e-3
SkinDry,1.1500e+10, 9.7497e+0, 2.9821e+1, 5.1104e-1, 3.0635e-3
SkinDry,1.1600e+10, 9.8669e+0, 2.9722e+1, 5.1443e-1, 3.0232e-3
SkinDry,1.1700e+10, 9.9842e+0, 2.9623e+1, 5.1782e-1, 2.9838e-3
SkinDry,1.1800e+10, 1.0102e+1, 2.9525e+1, 5.2120e-1, 2.9453e-3
SkinDry,1.1900e+10, 1.0219e+1, 2.9426e+1, 5.2459e-1, 2.9076e-3
SkinDry,1.2000e+10, 1.0337e+1, 2.9327e+1, 5.2797e-1, 2.8708e-3
SkinDry,1.2100e+10, 1.0454e+1, 2.9229e+1, 5.3136e-1, 2.8347e-3
SkinDry,1.2200e+10, 1.0572e+1, 2.9130e+1, 5.3474e-1, 2.7995e-3
SkinDry,1.2300e+10, 1.0690e+1, 2.9031e+1, 5.3812e-1, 2.7650e-3
SkinDry,1.2400e+10, 1.0808e+1, 2.8933e+1, 5.4151e-1, 2.7312e-3
SkinDry,1.2500e+10, 1.0925e+1, 2.8834e+1, 5.4489e-1, 2.6982e-3
SkinDry,1.2600e+10, 1.1043e+1, 2.8735e+1, 5.4826e-1, 2.6659e-3
SkinDry,1.2700e+10, 1.1161e+1, 2.8637e+1, 5.5164e-1, 2.6342e-3
SkinDry,1.2800e+10, 1.1279e+1, 2.8538e+1, 5.5502e-1, 2.6032e-3
SkinDry,1.2900e+10, 1.1397e+1, 2.8440e+1, 5.5839e-1, 2.5728e-3
SkinDry,1.3000e+10, 1.1514e+1, 2.8342e+1, 5.6176e-1, 2.5431e-3
SkinDry,1.3100e+10, 1.1632e+1, 2.8243e+1, 5.6513e-1, 2.5140e-3
SkinDry,1.3200e+10, 1.1750e+1, 2.8145e+1, 5.6849e-1, 2.4854e-3
SkinDry,1.3300e+10, 1.1867e+1, 2.8047e+1, 5.7186e-1, 2.4575e-3
SkinDry,1.3400e+10, 1.1985e+1, 2.7949e+1, 5.7522e-1, 2.4301e-3
SkinDry,1.3500e+10, 1.2102e+1, 2.7851e+1, 5.7858e-1, 2.4032e-3
SkinDry,1.3600e+10, 1.2219e+1, 2.7754e+1, 5.8193e-1, 2.3769e-3
SkinDry,1.3700e+10, 1.2337e+1, 2.7656e+1, 5.8529e-1, 2.3511e-3
SkinDry,1.3800e+10, 1.2454e+1, 2.7559e+1, 5.8864e-1, 2.3258e-3
SkinDry,1.3900e+10, 1.2571e+1, 2.7461e+1, 5.9198e-1, 2.3010e-3
SkinDry,1.4000e+10, 1.2688e+1, 2.7364e+1, 5.9532e-1, 2.2766e-3
SkinDry,1.4100e+10, 1.2804e+1, 2.7267e+1, 5.9866e-1, 2.2528e-3
SkinDry,1.4200e+10, 1.2921e+1, 2.7170e+1, 6.0200e-1, 2.2293e-3
SkinDry,1.4300e+10, 1.3037e+1, 2.7073e+1, 6.0533e-1, 2.2064e-3
SkinDry,1.4400e+10, 1.3154e+1, 2.6977e+1, 6.0866e-1, 2.1838e-3
SkinDry,1.4500e+10, 1.3270e+1, 2.6880e+1, 6.1199e-1, 2.1617e-3
SkinDry,1.4600e+10, 1.3386e+1, 2.6784e+1, 6.1531e-1, 2.1400e-3
SkinDry,1.4700e+10, 1.3501e+1, 2.6688e+1, 6.1862e-1, 2.1187e-3
SkinDry,1.4800e+10, 1.3617e+1, 2.6592e+1, 6.2194e-1, 2.0978e-3
SkinDry,1.4900e+10, 1.3732e+1, 2.6496e+1, 6.2525e-1, 2.0773e-3
SkinDry,1.5000e+10, 1.3847e+1, 2.6401e+1, 6.2855e-1, 2.0571e-3
SkinDry,1.5100e+10, 1.3962e+1, 2.6305e+1, 6.3185e-1, 2.0373e-3
SkinDry,1.5200e+10, 1.4077e+1, 2.6210e+1, 6.3515e-1, 2.0179e-3
SkinDry,1.5300e+10, 1.4191e+1, 2.6115e+1, 6.3844e-1, 1.9988e-3
SkinDry,1.5400e+10, 1.4306e+1, 2.6021e+1, 6.4172e-1, 1.9800e-3
SkinDry,1.5500e+10, 1.4420e+1, 2.5926e+1, 6.4501e-1, 1.9616e-3
SkinDry,1.5600e+10, 1.4533e+1, 2.5832e+1, 6.4828e-1, 1.9435e-3
SkinDry,1.5700e+10, 1.4647e+1, 2.5738e+1, 6.5155e-1, 1.9257e-3
SkinDry,1.5800e+10, 1.4760e+1, 2.5644e+1, 6.5482e-1, 1.9082e-3
SkinDry,1.5900e+10, 1.4873e+1, 2.5551e+1, 6.5808e-1, 1.8910e-3
SkinDry,1.6000e+10, 1.4986e+1, 2.5458e+1, 6.6134e-1, 1.8742e-3
SkinDry,1.6100e+10, 1.5098e+1, 2.5365e+1, 6.6459e-1, 1.8576e-3
SkinDry,1.6200e+10, 1.5210e+1, 2.5272e+1, 6.6784e-1, 1.8412e-3
SkinDry,1.6300e+10, 1.5322e+1, 2.5179e+1, 6.7108e-1, 1.8252e-3
SkinDry,1.6400e+10, 1.5434e+1, 2.5087e+1, 6.7432e-1, 1.8094e-3
SkinDry,1.6500e+10, 1.5545e+1, 2.4995e+1, 6.7755e-1, 1.7939e-3
SkinDry,1.6600e+10, 1.5656e+1, 2.4903e+1, 6.8077e-1, 1.7786e-3
SkinDry,1.6700e+10, 1.5767e+1, 2.4812e+1, 6.8399e-1, 1.7636e-3
SkinDry,1.6800e+10, 1.5877e+1, 2.4721e+1, 6.8721e-1, 1.7489e-3
SkinDry,1.6900e+10, 1.5987e+1, 2.4630e+1, 6.9042e-1, 1.7343e-3
SkinDry,1.7000e+10, 1.6097e+1, 2.4539e+1, 6.9362e-1, 1.7201e-3
SkinDry,1.7100e+10, 1.6206e+1, 2.4449e+1, 6.9682e-1, 1.7060e-3
SkinDry,1.7200e+10, 1.6316e+1, 2.4359e+1, 7.0001e-1, 1.6922e-3
SkinDry,1.7300e+10, 1.6424e+1, 2.4269e+1, 7.0319e-1, 1.6785e-3
SkinDry,1.7400e+10, 1.6533e+1, 2.4179e+1, 7.0637e-1, 1.6651e-3
SkinDry,1.7500e+10, 1.6641e+1, 2.4090e+1, 7.0954e-1, 1.6520e-3
SkinDry,1.7600e+10, 1.6749e+1, 2.4001e+1, 7.1271e-1, 1.6390e-3
SkinDry,1.7700e+10, 1.6856e+1, 2.3913e+1, 7.1587e-1, 1.6262e-3
SkinDry,1.7800e+10, 1.6963e+1, 2.3824e+1, 7.1902e-1, 1.6136e-3
SkinDry,1.7900e+10, 1.7070e+1, 2.3736e+1, 7.2217e-1, 1.6012e-3
SkinDry,1.8000e+10, 1.7176e+1, 2.3649e+1, 7.2531e-1, 1.5890e-3
SkinDry,1.8100e+10, 1.7282e+1, 2.3561e+1, 7.2845e-1, 1.5770e-3
SkinDry,1.8200e+10, 1.7388e+1, 2.3474e+1, 7.3158e-1, 1.5652e-3
SkinDry,1.8300e+10, 1.7493e+1, 2.3387e+1, 7.3470e-1, 1.5535e-3
SkinDry,1.8400e+10, 1.7598e+1, 2.3301e+1, 7.3782e-1, 1.5420e-3
SkinDry,1.8500e+10, 1.7702e+1, 2.3215e+1, 7.4093e-1, 1.5307e-3
SkinDry,1.8600e+10, 1.7807e+1, 2.3129e+1, 7.4403e-1, 1.5196e-3
SkinDry,1.8700e+10, 1.7910e+1, 2.3043e+1, 7.4713e-1, 1.5086e-3
SkinDry,1.8800e+10, 1.8014e+1, 2.2958e+1, 7.5022e-1, 1.4978e-3
